编号,今地名,古地名,地点名胜,经度,纬度
db363ee5b7e54e64413b3f4f2d36ca21,清河,河北道,,116.3090931,40.0400025
2e82bfac2136b0cb090a1730ddb8e811,邢台,河北道,,114.4997460,37.0616519
a41daaf011b5ef00a80f213e3f9a4fa2,邢台,,,114.4997460,37.0616519
98aede616b63e2e572c59bd8e535122b,黄陵,关内道,,108.9563502,35.6655175
9a79d61a48d1e7137fac78229bfdb995,富县,关内道,,109.1372220,35.9883330
420759051f4791618536e53303fffd8f,延安富县,关内道,,108.8827101,34.2211394
e28617d31047a4d2e45c38a2db16cf71,富县,,,109.1372220,35.9883330
2801e908e157932a2c959bb48ebe226b,漯河,河南道,,114.0107357,33.5826865
b633e766f8dd10cb307a478b58ae7b05,郾城,河南道,,114.0120492,33.6014756
9bdd6942bb9cb83fdbbbcc70618b602b,哈密,陇右道,,93.5046494,42.8484396
d997942b3fe1218b8706bede7e42f687,扬州,淮南道,,119.4077658,32.3968554
d3ed332b302134dfc31165fb8c210dc7,扬州,江南东道,,119.4077658,32.3968554
b15563b4afc354e90a898a059ae65c92,扬州,淮南道,栖灵寺,120.3453669,30.3010436
4fa6e119dd809bbe58e8f26f1c20005f,扬州,淮南道,西灵塔,119.4077658,32.3968554
22cec73ecd8bc311796d10eaaffc8924,扬州,淮南道,广陵,119.4262346,32.3968746
2dd84718975a389512061c0a78d3744f,扬州,,,119.4077658,32.3968554
424e60c447607b60afe5846b4d95aa9d,扬州,淮南道,灵岩寺,120.4323878,30.2922025
0ea5466101fda1df48af8c1a9dd1fd4d,扬州,淮南道,棠邑,120.0982499,30.1165756
fa7ed0799555137a7e63fa9ffd378326,扬州,淮南道,瓜洲,119.3649586,32.2560685
fef4e31969ce7e10b83d439c9c4d8d9c,扬州市,淮南道,,119.4077658,32.3968554
240518cfbc499887902f5301d87a0c14,扬州市,淮南道,禅智寺,116.9875397,23.5305315
15ebbb3c6a16747eb0a1307923b48c1b,扬州市,,,119.4077658,32.3968554
4576dacd8406fa3af7cc401796ab52a3,扬州,淮南道,惠照寺,114.3405599,23.0360558
8fc041a8b1536e2fe56e330c4393585f,扬州,淮南道,迷楼,120.0841732,30.3000203
6a7b2c48f2ecbee4383b61657e7e6555,扬州,淮南道,禅智寺,116.9875397,23.5305315
6f639157442007ed1b35d23120ae3a61,扬州,淮南道,甘露寺,115.7756611,29.2477467
5a6a9720b9a4556bdbf0c8980d56d505,宝应,淮南道,,119.3529695,33.2423744
a04a7837e9a0e8030ec81840e613855a,高邮,淮南道,,119.4294614,32.7861134
f56b5e2b3d4db81ac4bcedff78d2131b,济源,都畿道,,112.5810521,35.0945453
f36a1dcce9b855eb1de468bbe1eba62e,济源,都畿道,枋口柳溪,112.5810521,35.0945453
7d82149084ebd6b387e8128b5c34367a,济源,都畿道,枋口,113.5503388,22.4392507
aca8bcf2efbb3a530a6f2d1b611b1d38,济源,,,112.5810521,35.0945453
3a31f8f86a9d89978709f413610e4534,济源,都畿道,王屋山天坛,135.2183620,34.7095488
75728483ac3e36de526768bab1df9028,济源市,,,112.5810521,35.0945453
d87690fd6aca3cf3e1d2f507b41d97e6,肇庆,岭南道,端州驿,112.4468307,23.0480178
4af2d73c79029652b8cf3e1b1806969a,肇庆,岭南道,端溪,112.4968047,23.0514255
8bc4e088f04d2252c7332e32b2ada9e5,肇庆,岭南道,峡山寺,112.4603629,23.0501661
677c91d634a34ba9a89570e67344fb3d,肇庆,岭南道,,112.4603629,23.0501661
d7f8d0b984baaaf3121f53737030c929,肇庆,岭南道,驿站,112.4737007,23.0711844
e4aff6724b148cb12beeec010661dd76,德庆,岭南道,,111.9695802,23.2868522
213a59b6b2bff270422ba30222e76433,高要,,,112.4525890,23.0279783
cc7b74fb98ae4adc85ac5524ed3a9aec,宜昌,山南东道,三峡,111.0075702,30.8261831
231294df61b1fc79260db674d12290c8,宜昌,山南东道,使君滩,115.6537995,28.8172819
c9ac8c2c4501e1bbbd37f14fb58a29a6,宜昌,剑南道,,111.2803512,30.6941332
52e0ab1748903ef699009e83381f6221,宜昌,山南东道,荆门山,119.3723319,36.8532924
805673238cb5d9c71107509eb083888d,宜昌,山南东道,,111.2803512,30.6941332
1da0e9f32f84710b29ca59639982b8bd,宜昌,,,111.2803512,30.6941332
8b0f988b340cbb03da1a1f40056f248f,宜昌,山南东道,黄牛峡,111.2803512,30.6941332
343e31e9a8366e679fc8c96ec6edf489,宜昌,山南东道,黄草峡,111.2803512,30.6941332
fc5a62f2e292758813b85fa3d10debd3,宜昌,山南东道,巫峡,119.3280447,37.0118617
8d8488d94e918d5f4eaab5b6d8c54377,宜昌,山南东道,西陵峡,110.5374355,31.0289574
574719c1bc14739b063ce343777af001,宜都,山南东道,荆门山,135.7577632,35.0087923
6720b27d582321bcee7349c59d9c168f,宜都,山南东道,,111.4436927,30.3819696
e3d43825792010baf354dfec6048684a,秭归,山南东道,崆岭峡,110.9725264,30.8275925
a523174d8d9d9934f3f517a8093292db,秭归县,山南东道,白狗峡,110.9725264,30.8275925
910530c3c6717d1946d18e4b32e58a72,当阳,山南东道,,111.8067656,30.8499539
121f8f2ec0fdb78566d8ce8dc67c5fc2,当阳,山南东道,玉泉寺,111.6804457,30.7896123
61e33fdb76af29d76977cdd482a53660,当阳,山南东道,度门寺,113.5556648,22.1582588
9eed0f0d7825eb569a3a59430d5e4a2a,兴山,山南东道,昭君村,110.8039530,31.3083470
9f295fa3c1eeef2f1e10fc35ed66dd8c,潮州,岭南道,,116.6204223,23.6565930
45acfd5f660cb6b09d0e95e8cdd807f0,潮州,岭南道,灵山寺,135.7676713,35.0162960
b6ac2ea7c0c58ede3adc7750f1821fa7,宿州市埇桥区,河南道,,116.9720556,33.6434399
77965bbeefe9eb48c6df195241984a3e,砀山,河南道,,116.4717068,34.4418972
502e4da06d5aeed2fdc97cf916f1a94e,宿州,河南道,,116.9588062,33.6482366
1408ec933a789554ce26af45b334d64f,宿州,,,116.9588062,33.6482366
dbedbc56f8b500d1883f668614698aed,宿州,河南道,流沟寺,113.5326741,34.7124594
71e0d40663352810bf3b5a4803d18cf6,宿州,河南道,埇桥,117.0940178,33.5120119
