id,title,poet_id,content,year,genre
1,渡河到清河作,2,贬济州，游齐、鲁、冀一带，与道士、隐者、贤者交往，有诗,723,诗
2,《韩员外夫人清河县君崔氏挽歌》(令德当时重),3,过清河时，县君崔氏卒，岑参为作挽诗。,739,诗
3,《韩员外夫人清河县君崔氏挽歌》(遽闻伤别剑),3,过清河时，县君崔氏卒，岑参为作挽诗。,739,未知
4,《巨鹿赠李少府》,4,北上旅游燕赵，过巨鹿，秋，有诗,730,诗
5,《酬司空璲少府》,4,北上旅游燕赵，过巨鹿，秋，有诗,730,诗
6,《别曲》,5,在邢州求学中，诗别从关辅来访的舍弟,784,诗
7,《送同学故人》,5,在邢州漳溪山居，秋，赋诗赠入长安求仕的张籍等,793,诗
8,《送张籍归江东》,5,在邢州漳溪山居，张籍回到邢台，五月，归省吴郡，王建赋诗赠别,795,诗
9,《山中寄及第故人》,5,在邢州漳溪山居，一山中友人以还乡为名却应举进士及第，王建以诗斥其心口不一,796,诗
10,《主人故亭》,5,回到邢州，有诗怀念故人元谊,803,诗
11,《征妇怨》,6,游学于邢州，契丹、奚族、室韦入侵振武，或有感于此作诗,788,诗
12,《别离曲》,6,游学于邢州，契丹、奚族、室韦入侵振武，或有感于此作诗,788,诗
13,《将军行》,6,游学于邢州，本年或稍后，有诗,791,诗
14,《塞上曲》（边州八月修城堡）,6,游学于邢州，本年或稍后，有诗,791,诗
15,《短歌行》,6,游学于邢州期间，与王建唱和，有诗,792,诗
16,《别鹤》,6,游学于邢州期间，与王建唱和，有诗,792,诗
17,《咏罗山》,6,游学于邢州，期间或游忻州，有诗咏罗山,792,诗
18,《听夜泉》,6,游学于邢州，听夜泉，有诗,792,诗
19,《赠同溪客》,6,游学于邢州，有诗赠同溪客,792,诗
20,《送南客》,6,游学于邢州，有诗送南客,792,诗
21,《夜宿黑灶溪》,6,游学于邢州，夜宿黑灶溪，有诗,792,诗
22,《感春》,6,游学于邢州，感春有诗,792,诗
