id,name,dynasty,birth_year,death_year
1,崔融,唐代,653,未知
2,王维,唐代,723,未知
3,岑参,唐代,739,未知
4,高适,唐代,730,未知
5,王建,唐代,783,未知
6,张籍,唐代,785,未知
7,苏味道,唐代,704,未知
8,李白,唐代,730,未知
9,武元衡,唐代,784,未知
10,杜甫,唐代,756,未知
11,许浑,唐代,830,未知
12,李频,唐代,871,未知
13,韦庄,唐代,896,未知
14,黄滔,唐代,887,未知
15,韩愈,唐代,817,未知
16,卢照邻,唐代,646,未知
17,骆宾王,唐代,684,未知
18,宋之问,唐代,709,未知
19,孟浩然,唐代,726,未知
20,王昌龄,唐代,747,未知
21,萧颖士,唐代,749,未知
22,刘长卿,唐代,757,未知
23,独孤及,唐代,760,未知
24,韦应物,唐代,769,未知
25,权德舆,唐代,780,未知
26,刘禹锡,唐代,796,未知
27,李绅,唐代,833,未知
28,吕温,唐代,785,未知
29,李翱,唐代,809,未知
30,姚合,唐代,836,未知
31,牛僧孺,唐代,833,未知
32,李德裕,唐代,808,未知
33,皇甫湜,唐代,800,未知
34,温庭筠,唐代,841,未知
35,令狐绹,唐代,862,未知
36,杜牧,唐代,833,未知
37,段成式,唐代,827,未知
38,李商隐,唐代,857,未知
39,贯休,唐代,869,未知
40,罗隐,唐代,855,未知
41,皮日休,唐代,866,未知
42,杜荀鹤,唐代,882,未知
43,郑谷,唐代,866,未知
44,冯延巳,唐代,903,未知
45,白居易,唐代,826,未知
46,孟郊,唐代,813,未知
47,元稹,唐代,804,未知
48,沈佺期,唐代,706,未知
49,张说,唐代,703,未知
50,杨炯,唐代,688,未知
51,崔涂,唐代,880,未知
52,陈子昂,唐代,679,未知
53,张九龄,唐代,739,未知
54,张彻,唐代,777,未知
55,颜真卿,唐代,757,未知
56,司空图,唐代,895,未知
57,元结,唐代,765,未知
58,令狐楚,唐代,820,未知
59,柳宗元,唐代,815,未知
60,雍陶,唐代,838,未知
61,唐彦谦,唐代,869,未知
62,苏颋,唐代,725,未知
63,王勃,唐代,676,未知
64,薛能,唐代,864,未知
65,韩偓,唐代,882,未知
66,吴融,唐代,890,未知
67,顾非熊,唐代,848,未知
68,杜审言,唐代,675,未知
69,魏征,唐代,638,未知
70,周贺,唐代,840,未知
71,李贺,唐代,809,未知
72,李峤,唐代,710,未知
73,贾岛,唐代,832,未知
74,陆龟蒙,唐代,875,未知
75,方干,唐代,843,未知
76,李渊,唐代,620,未知
77,杨凝式,唐代,873,未知
78,无可,唐代,842,未知
79,钱起,唐代,738,未知
80,鱼玄机,唐代,862,未知
81,郑巢,唐代,853,未知
82,项斯,唐代,801,未知
83,王之涣,唐代,722,未知
84,王绩,唐代,622,未知
85,刘得仁,唐代,807,未知
86,喻凫,唐代,830,未知
